AppID,App Name,Discount Rate,Price,Like Ratio,Release Date,Playtime;
620,Portal 2,-90%,$0.57,97.71%,Apr 2011,0;
413150,Stardew Valley,-33%,$4.01,97.39%,Feb 2016,3138;
550,Left 4 Dead 2,-90%,$0.57,96.77%,Nov 2009,120;
1055540,A Short Hike,-45%,$2.46,96.52%,Jul 2019,0;
431730,Aseprite,-30%,$7.34,96.51%,Feb 2016,1884;
508440,Totally Accurate Battle Simulator,-66%,$3.05,96.43%,Apr 2021,150;
220,Half-Life 2,-90%,$0.57,96.35%,Nov 2004,0;
367520,Hollow Knight,-50%,$2.99,96.15%,Feb 2017,16;
1230140,ATRI -My Dear Moments-,-30%,$7.35,96.05%,Jun 2020,0;
1150690,OMORI,-35%,$12.99,95.90%,Dec 2020,0;
1669980,Volcano Princess,-15%,$9.34,95.60%,Apr 2023,3828;
239030,"Papers, Please",-50%,$4.99,95.51%,Aug 2013,1356;
391540,Undertale,-70%,$2.99,95.50%,Sep 2015,0;
736260,Baba Is You,-30%,$10.49,95.44%,Mar 2019,0;
1593500,God of War,-50%,$24.99,95.42%,Jan 2022,342;
698780,Doki Doki Literature Club!,N/A,N/A,N/A,Sep 2017,702;
292030,The Witcher® 3: Wild Hunt,-75%,$7.49,95.28%,May 2015,9654;
739630,Phasmophobia,-20%,$6.23,95.25%,Sep 2020,996;
1057090,Ori and the Will of the Wisps,-67%,$9.89,95.23%,Mar 2020,0;
70,Half-Life,-90%,$0.57,95.21%,Nov 1998,0;
203160,Tomb Raider,-80%,$1.49,95.03%,Mar 2013,672;
238320,Outlast,-85%,$1.57,95.03%,Sep 2013,672;
1082430,Before Your Eyes,-50%,$2.89,95.02%,Apr 2021,0;
412830,STEINS;GATE,-50%,$14.99,94.95%,Sep 2016,0
683320,GRIS,-75%,$1.99,94.94%,Dec 2018,0;
319630,Life is Strange - Episode 1,N/A,N/A,N/A,Jan 2015,983;
322330,Don't Starve Together,-66%,$2.71,94.86%,Apr 2016,216;
1292940,Cube Escape Collection,-44%,$2.79,94.73%,Oct 2020,156;
1392820,Milk inside a bag of milk inside a bag of milk,-51%,$0.49,94.72%,Aug 2020,27;
541570,Sally Face - Episode One,N/A,N/A,N/A,Dec 2016,0;
242760,The Forest,-77%,$2.41,94.63%,Apr 2018,888;
1604000,Milk outside a bag of milk outside a bag of milk,-50%,$4.49,94.54%,Dec 2021,0;
2291850,Underground Blossom,-44%,$2.79,94.53%,Sep 2023,0;
909080,Cube Escape: Paradox,N/A,N/A,N/A,Sep 2018,0;
1388880,Doki Doki Literature Club Plus!,-30%,$7.86,94.45%,Jun 2021,612;
1948280,Stacklands,-30%,$5.59,94.40%,Apr 2022,594;
814380,Sekiro™: Shadows Die Twice - GOTY Edition,-50%,$29.99,94.28%,Mar 2019,306;
282140,SOMA,N/A,N/A,N/A,Sep 2015,0;
1161870,Epiphyllum in Love,-40%,$2.39,93.87%,Mar 2020,0;
501300,What Remains of Edith Finch,-75%,$2.24,93.71%,Apr 2017,0;
871720,Ultimate Custom Night,N/A,N/A,N/A,Jun 2018,690;
287980,Mini Metro,-50%,$2.89,93.64%,Nov 2015,0;
812810,missed messages.,N/A,N/A,N/A,May 2019,0;
424840,Little Nightmares,-75%,$3.24,93.39%,Apr 2017,0;
